LTKBID,compound,node_id,node_type,generation,precursor_smiles,mechanism,enzyme,state_window,smiles,formal_charge,reactive_alert_count,reactive_alerts,selection_score,replaces_node_id,replaces_smiles,retention_ratio
LT00286,Chlorambucil,LT00286__CFR0015,metabolite,1,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,O=C(O)CCCc1ccc(NCCCl)cc1,0,0,,1.0,LT00286__R3M1,O=CCCl,0.8421052631578947
LT00307,Lansoprazole,LT00307__CFR0016,metabolite,1,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,Cc1c(O)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,0,0,,1.0,LT00307__R3M0,O=CC(F)(F)F,0.8
LT00311,Naltrexone hydrochloride,LT00311__CFR0017,metabolite,1,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3)[C@H]1O5,0,0,,1.0,LT00311__R3M0,O=CC1CC1,0.84
LT00332,Verapamil hydrochloride,LT00332__CFR0018,metabolite,1,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,N-Dealkylation of acyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0,0,,1.0,LT00332__R3M0,COc1ccc(CC=O)cc1OC,0.9696969696969697
LT00400,Fluphenazine hydrochloride,LT00400__CFR0019,metabolite,1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,FC(F)(F)c1ccc2c(c1)Nc1ccccc1S2,0,0,,1.0,LT00400__R3M0,O=CCCN1CCN(CCO)CC1,0.6
LT00400,Fluphenazine hydrochloride,LT00400__CFR0020,metabolite,1,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,FC(F)(F)c1ccc2c(c1)N(CCCN1CCNCC1)c1ccccc1S2,0,0,,1.0,LT00400__R3M1,O=CCO,0.9
LT00419,Ioversol,LT00419__CFR0021,metabolite,1,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,N-Dealkylation of tertiary carboxamide,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,O=C(CO)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0,0,,1.0,LT00419__R3M0,O=CCO,0.9090909090909091
LT00437,Prochlorperazine maleate,LT00437__CFR0022,metabolite,1,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Clc1ccc2c(c1)Nc1ccccc1S2,0,0,,1.0,LT00437__R3M0,CN1CCN(CCC=O)CC1,0.6
LT00451,Thioridazine hydrochloride,LT00451__CFR0023,metabolite,1,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CSc1ccc2c(c1)Nc1ccccc1S2,0,0,,1.0,LT00451__R3M0,CN1CCCCC1CC=O,0.64
LT00457,Trifluoperazine hydrochloride,LT00457__CFR0024,metabolite,1,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,FC(F)(F)c1ccc2c(c1)Nc1ccccc1S2,0,0,,1.0,LT00457__R3M0,CN1CCN(CCC=O)CC1,0.6428571428571429
LT00554,Febuxostat,LT00554__CFR0025,metabolite,1,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,Cc1nc(-c2ccc(O)c(C#N)c2)sc1C(=O)O,0,0,,1.0,LT00554__R3M1,CC(C)C=O,0.8181818181818182
LT00562,Ifosfamide,LT00562__CFR0026,metabolite,1,O=P1(NCCCl)OCCCN1CCCl,N-Dechloroethylation,"CYP2B6
CYP3A4",metabolite,O=P1(NCCCl)NCCCO1,0,0,,0.0,LT00562__R3M0,O=CCCl,0.7857142857142857
LT00592,Naloxone hydrochloride,LT00592__CFR0027,metabolite,1,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3)[C@H]1O5,0,0,,1.0,LT00592__R3M0,C=CC=O,0.875
LT00606,Pantoprazole sodium,LT00606__CFR0028,metabolite,1,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,COc1c(O)ccnc1C[S+]([O-])c1nc2cc(OC(F)F)ccc2[nH]1,0,0,,1.0,LT00606__R3M0,O=C(F)F,0.9615384615384616
LT00648,Zaleplon,LT00648__CFR0029,metabolite,1,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,N-Dealkylation of tertiary carboxamide,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CC(=O)Nc1cccc(-c2ccnc3c(C#N)cnn23)c1,0,0,,1.0,LT00648__R3M1,CC=O,0.9130434782608695
LT00659,Bendamustine hydrochloride,LT00659__CFR0030,metabolite,1,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Cn1c(CCCC(=O)O)nc2cc(NCCCl)ccc21,0,0,,1.0,LT00659__R3M0,O=CCCl,0.8695652173913043
LT00692,Alclofenac,LT00692__CFR0031,metabolite,1,C=CCOc1ccc(CC(=O)O)cc1Cl,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,O=C(O)Cc1ccc(O)c(Cl)c1,0,0,,1.0,LT00692__R3M0,C=CC=O,0.8
LT00693,Aplaviroc,LT00693__CFR0032,metabolite,1,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCNCC2,0,0,,1.0,LT00693__R3M0,O=Cc1ccc(Oc2ccc(C(=O)O)cc2)cc1,0.5952380952380952
LT00737,Dicyclomine hydrochloride,LT00737__CFR0033,metabolite,1,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,N-Dealkylation of acyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,CCNCCOC(=O)C1(C2CCCCC2)CCCCC1,0,0,,1.0,LT00737__R3M0,CC=O,0.9090909090909091
LT00792,Meclizine hydrochloride,LT00792__CFR0034,metabolite,1,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Clc1ccc(C(c2ccccc2)N2CCNCC2)cc1,0,0,,1.0,LT00792__R3M0,Cc1cccc(C=O)c1,0.7142857142857143
LT00795,Ethotoin,LT00795__CFR0035,metabolite,1,CCN1C(=O)NC(c2ccccc2)C1=O,N-Dealkylation of dicarboximide,"CYP1A2
CYP2B6
CYP2C19
CYP2D6
CYP3A4",metabolite,O=C1NC(=O)C(c2ccccc2)N1,0,0,,1.0,LT00795__R3M1,CC=O,0.8666666666666667
LT00800,Benzonatate,LT00800__CFR0036,metabolite,1,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,O-Dealkylation of dialkylether,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,0,0,,1.0,LT00800__R3M0,CCCCNc1ccc(C(=O)OCC=O)cc1,0.9761904761904762
LT00829,Guanethidine monosulfate,LT00829__CFR0037,metabolite,1,N=C(N)NCCN1CCCCCCC1,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,C1CCCNCCC1,0,0,,1.0,LT00829__R3M0,N=C(N)NCC=O,0.5714285714285714
LT00920,Sufentanil citrate,LT00920__CFR0038,metabolite,1,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CCC(=O)N(c1ccccc1)C1(COC)CCNCC1,0,0,,1.0,LT00920__R3M0,O=CCc1cccs1,0.7407407407407407
LT00990,Ropinirole hydrochloride,LT00990__CFR0039,metabolite,1,CCCN(CCC)CCc1cccc2c1CC(=O)N2,N-Dealkylation of acyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,CCCNCCc1cccc2c1CC(=O)N2,0,0,,1.0,LT00990__R3M0,CCC=O,0.8421052631578947
LT00991,Pramipexole dihydrochloride,LT00991__CFR0040,metabolite,1,C=CCN[C@H]1CCc2nc(N)sc2C1,N-Dealkylation of acyclic secondary amine,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Nc1nc2c(s1)C[C@@H](N)CC2,0,0,,1.0,LT00991__R3M2,C=CC=O,0.7857142857142857
LT01037,Tirofiban hydrochloride,LT01037__CFR0041,metabolite,1,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,CCCCS(=O)(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,0,0,,1.0,LT01037__R3M1,O=CCCCC1CCNCC1,0.6666666666666666
LT01060,Alpidem,LT01060__CFR0042,metabolite,1,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,N-Dealkylation of tertiary carboxamide,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CCCNC(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,0,0,,1.0,LT01060__R3M1,CCC=O,0.8888888888888888
LT01067,Amifostine,LT01067__CFR0043,metabolite,1,NCCCNCCSP(=O)(O)O,N-Dealkylation of acyclic secondary amine,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,NCCSP(=O)(O)O,0,0,,1.0,LT01067__R3M0,NCCC=O,0.6666666666666666
LT01070,Alosetron hydrochloride,LT01070__CFR0044,metabolite,1,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,N-Dealkylation of tertiary carboxamide,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Cn1c2c(c3ccccc31)C(=O)NCC2,0,0,,1.0,LT01070__R3M0,Cc1[nH]cnc1C=O,0.6818181818181818
LT01107,Alfuzosin hydrochloride,LT01107__CFR0045,metabolite,1,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,COc1cc2nc(NCCCNC(=O)C3CCCO3)nc(N)c2cc1OC,0,0,,1.0,LT01107__R3M0,O=CCCNC(=O)C1CCCO1,0.9642857142857143
LT01116,Benazepril hydrochloride,LT01116__CFR0046,metabolite,1,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,N-Dealkylation of tertiary carboxamide,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2NC1=O,0,0,,1.0,LT01116__R3M1,O=CC(=O)O,0.8709677419354839
LT01117,Bendazac,LT01117__CFR0047,metabolite,1,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,Oc1nn(Cc2ccccc2)c2ccccc12,0,0,,1.0,LT01117__R3M1,O=CC(=O)O,0.8095238095238095
LT01145,Bumetanide,LT01145__CFR0048,metabolite,1,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,N-Dealkylation of secondary arylalkylamine,"CYP1A2
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,Nc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,0,0,,1.0,LT01145__R3M1,CCCC=O,0.84
LT01151,Butorphanol tartrate,LT01151__CFR0049,metabolite,1,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)NCC3,0,0,,1.0,LT01151__R3M0,O=CC1CCC1,0.7916666666666666
LT01152,Cabergoline,LT01152__CFR0050,metabolite,1,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CCNC(=O)N(CCCN(C)C)C(=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2C1,0,0,,1.0,LT01152__R3M0,C=CC=O,0.9090909090909091
LT01188,Darifenacin hydrobromide,LT01188__CFR0051,metabolite,1,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCNC1,0,0,,1.0,LT01188__R3M1,O=CCc1ccc2c(c1)CCO2,0.65625
LT01195,Aprepitant,LT01195__CFR0052,metabolite,1,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,C[C@@H](O[C@H]1OCCN[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0,0,,1.0,LT01195__R3M1,O=Cc1n[nH]c(=O)[nH]1,0.8108108108108109
LT01199,Atazanavir sulfate,LT01199__CFR0053,metabolite,1,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,N-Dealkylation of hydrazide,"CYP1A2
CYP2C8
CYP2C19
CYP2D6",metabolite,COC(=O)N[C@H](C(=O)NNC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,0,0,,1.0,LT01199__R3M0,O=Cc1ccc(-c2ccccn2)cc1,0.7450980392156863
LT01204,Rasagiline mesylate,LT01204__CFR0054,metabolite,1,C#CCN[C@@H]1CCc2ccccc21,N-Dealkylation of acyclic secondary amine,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,N[C@@H]1CCc2ccccc21,0,0,,1.0,LT01204__R3M0,C#CC=O,0.7692307692307693
LT01207,Chloroquine phosphate,LT01207__CFR0055,metabolite,1,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,N-Dealkylation of acyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,CCNCCCC(C)Nc1ccnc2cc(Cl)ccc12,0,0,,1.0,LT01207__R3M0,CC=O,0.9090909090909091
LT01214,Erlotinib hydrochloride,LT01214__CFR0056,metabolite,1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(O)cc23)c1,0,0,,1.0,LT01214__R3M1,COCC=O,0.8620689655172413
LT01244,Aliskiren hemifumarate,LT01244__CFR0057,metabolite,1,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1O,0,0,,1.0,LT01244__R3M1,COCCC=O,0.9743589743589743
LT01257,Fosaprepitant dimeglumine,LT01257__CFR0058,metabolite,1,C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,C[C@@H](O[C@H]1OCCN[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0,0,,1.0,LT01257__R3M1,O=Cc1nn(P(=O)(O)O)c(=O)[nH]1,0.7317073170731707
LT01263,Milnacipran hydrochloride,LT01263__CFR0059,metabolite,1,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,N-Dealkylation of tertiary carboxamide,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CCNC(=O)C1(c2ccccc2)CC1CN,0,0,,1.0,LT01263__R3M1,CC=O,0.8888888888888888
LT01265,Desipramine hydrochloride,LT01265__CFR0060,metabolite,1,CNCCCN1c2ccccc2CCc2ccccc21,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,c1ccc2c(c1)CCc1ccccc1N2,0,0,,1.0,LT01265__R3M0,CNCCC=O,0.75
