LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,compound_name,smiles,molecule_chembl_id,CAS_number,mw,alogp,prodrug,livertox_score,DILI_label,DILI_label_binary,livertox_mechanism_summary,v2_class,primary_label,name_norm,structure_source,resolved_smiles,pubchem_cid,pubchem_inchikey,parse_ok,standardized_smiles,inchikey,scaffold_smiles,fragment_count,largest_fragment_fraction,formal_charge,mol_wt,heavy_atoms,carbon_atoms,metal_atoms,tpsa,clogp,hbd,hba,rot_bonds,ring_count,fraction_csp3,eligible,exclusion_reasons,v1_label_raw,v1_class,dilimap_validation,dilimap_total_cmax_uM,structure_source_round03,structure_source_round03b
LT01853,Aceclofenac,0,No match,vLess-DILI-concern,Unchanged,Aceclofenac,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CHEMBL93645,89796-99-6,354.19,3.91,0.0,,DILI (few cases),,,less,,aceclofenac,DILImap_metadata,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,,,True,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,c1ccc(Nc2ccccc2)cc1,1.0,1.0,0.0,354.1890000000001,23.0,16.0,0.0,75.63,3.907300000000002,2.0,4.0,6.0,2.0,0.125,True,,Less-DILI-Concern,less,False,30.4437049323809,,
LT00004,Acetaminophen,5,Warnings & precautions,vMost-DILI-concern,Unchanged,Acetaminophen,CC(=O)Nc1ccc(O)cc1,CHEMBL112,,151.16,1.35,1.0,A [HD],DILI (known),DILI,"CYP, Hypersensitivity",most,1.0,acetaminophen,DILImap_metadata,CC(=O)Nc1ccc(O)cc1,,,True,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,c1ccccc1,1.0,1.0,0.0,151.165,11.0,8.0,0.0,49.33,1.3505999999999998,2.0,2.0,1.0,1.0,0.125,True,,Most-DILI-Concern,most,False,132.31,,
LT00498,Acetazolamide,8,Warnings & precautions,vMost-DILI-concern,Unchanged,Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CHEMBL20,59-66-5,222.25,-0.86,0.0,D,DILI (likely),DILI,,most,1.0,acetazolamide,DILImap_metadata,CC(=O)Nc1nnc(S(N)(=O)=O)s1,,,True,CC(=O)Nc1nnc(S(N)(=O)=O)s1,BZKPWHYZMXOIDC-UHFFFAOYSA-N,c1nncs1,1.0,1.0,0.0,222.251,13.0,4.0,0.0,115.03999999999999,-0.8561000000000003,2.0,6.0,2.0,1.0,0.25,True,,Most-DILI-Concern,most,False,112.484375703037,,
LT00913,Acetohydroxamic acid,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,Acetohydroxamic acid,CC(=O)NO,CHEMBL734,546-88-3,75.07,-0.49,0.0,,,,,ambiguous,,acetohydroxamic acid,DILImap_metadata,CC(=O)NO,,,True,CC(=O)NO,RRUDCFGSUDOHDG-UHFFFAOYSA-N,,1.0,1.0,0.0,75.067,5.0,2.0,0.0,49.33,-0.4882999999999999,2.0,2.0,0.0,0.0,0.5,True,,Ambiguous DILI-concern,ambiguous,False,,,
LT02096,Acetylcholine chloride,0,No match,vNo-DILI-concern,Unchanged,Acetylcholine chloride,,,60-31-1,,,,,No DILI,No DILI,,no,0.0,acetylcholine chloride,,CC(=O)OCC[N+](C)(C)C.[Cl-],6060.0,JUGOREOARAHOCO-UHFFFAOYSA-M,True,CC(=O)OCC[N+](C)(C)C,OIPILFWXSMYKGL-UHFFFAOYSA-N,,2.0,0.9090909090909091,1.0,146.21,10.0,7.0,0.0,26.3,0.25570000000000004,0.0,2.0,3.0,0.0,0.8571428571428571,True,,No-DILI-Concern,no,False,,,PubChem_name_property
LT01041,Acetylcysteine,0,No match,vNo-DILI-concern,Unchanged,Acetylcysteine,CC(=O)N[C@@H](CS)C(=O)O,CHEMBL600,616-91-1,163.2,-0.49,0.0,E,No DILI,No DILI,,no,0.0,acetylcysteine,DILImap_metadata,CC(=O)N[C@@H](CS)C(=O)O,,,True,CC(=O)N[C@@H](CS)C(=O)O,PWKSKIMOESPYIA-BYPYZUCNSA-N,,1.0,1.0,0.0,163.198,10.0,5.0,0.0,66.4,-0.4945,3.0,3.0,3.0,0.0,0.6,True,,No-DILI-Concern,no,False,,,
LT01042,Acitretin,5,Box warning,vMost-DILI-concern,Unchanged,Acitretin,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,CHEMBL1131,55079-83-9,326.44,5.17,0.0,B,DILI (likely),DILI,"Hepatitis, Cholestasis/Biliary, Hypersensitivity",most,1.0,acitretin,DILImap_metadata,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,,,True,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,IHUNBGSDBOWDMA-AQFIFDHZSA-N,c1ccccc1,1.0,1.0,0.0,326.4360000000001,24.0,21.0,0.0,46.53,5.167060000000005,1.0,2.0,6.0,1.0,0.2857142857142857,True,,Most-DILI-Concern,most,False,,,
LT00041,Acyclovir,5,Adverse reactions,vLess-DILI-concern,Unchanged,Aciclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,CHEMBL184,59277-89-3,225.21,-1.33,1.0,,,,,less,,acyclovir,DILImap_metadata,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,,,True,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N,O=c1[nH]cnc2[nH]cnc12,1.0,1.0,0.0,225.20799999999997,16.0,8.0,0.0,119.04999999999998,-1.3318000000000003,3.0,6.0,4.0,2.0,0.375,True,,Less-DILI-Concern,less,False,,,
LT01387,Adalimumab,7,Adverse reactions,vLess-DILI-concern,Unchanged,Adalimumab,,CHEMBL1201580,,,,0.0,B,DILI (likely),DILI,"Hepatitis, Necrosis, Immune-mediated, Hypersensitivity",less,,adalimumab,,,,,False,,,,,,,,,,,,,,,,,,False,missing_structure,Less-DILI-Concern,less,False,,,
LT01155,Adefovir dipivoxil,2,Warnings & precautions,vLess-DILI-concern,Unchanged,Adefovir,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,CHEMBL484,142340-99-6,273.19,-0.44,1.0,E,No DILI (unlikely),,,less,,adefovir dipivoxil,DILImap_metadata,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,,,True,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,SUPKOOSCJHTBAH-UHFFFAOYSA-N,c1ncc2nc[nH]c2n1,1.0,1.0,0.0,273.1889999999999,18.0,8.0,0.0,136.38000000000002,-0.4397000000000001,3.0,6.0,5.0,2.0,0.375,True,,Less-DILI-Concern,less,False,,,
LT01047,Adenosine,0,No match,vNo-DILI-concern,Unchanged,Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL477,58-61-7,267.25,-1.98,0.0,,No DILI,No DILI,,no,0.0,adenosine,DILImap_metadata,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,,True,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-KQYNXXCUSA-N,c1ncc2ncn(C3CCCO3)c2n1,1.0,1.0,0.0,267.245,19.0,10.0,0.0,139.54000000000002,-1.9800000000000006,4.0,8.0,2.0,3.0,0.5,True,,No-DILI-Concern,no,False,,,
LT02889,Afatinib dimaleate,8,Warnings & precautions,Ambiguous-DILI-concern,New,,,,,,,,,,,,ambiguous,,afatinib dimaleate,,CN(C/C=C/C(=O)NC1=C(C=C2N=CN=C(C2=C1)NC3=CC(=C(C=C3)F)Cl)O[C@@H]4COCC4)C.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,15606394.0,USNRYVNRPYXCSP-JUGPPOIOSA-N,True,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,ULXXDDBFHOBEHA-CWDCEQMOSA-N,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,3.0,0.68,0.0,485.9470000000003,34.0,24.0,0.0,88.61000000000001,4.389900000000003,2.0,7.0,8.0,4.0,0.2916666666666667,True,,,other,False,,,PubChem_name_property
LT02385,Agalsidase beta,0,No match,vNo-DILI-concern,Unchanged,Agalsidase beta,,CHEMBL2108888,,,,0.0,E,No DILI,No DILI,,no,0.0,agalsidase beta,,,,,False,,,,,,,,,,,,,,,,,,False,missing_structure,No-DILI-Concern,no,False,,,
LT02213,Alaproclate,8,Withdrawn,vMost-DILI-concern,Unchanged,Alaproclate,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,CHEMBL36591,,255.75,2.55,0.0,,DILI (withdrawn),DILI,,most,1.0,alaproclate,DILImap_metadata,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,,,True,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,FZSPJBYOKQPKCD-UHFFFAOYSA-N,c1ccccc1,1.0,1.0,0.0,255.74499999999998,17.0,13.0,0.0,52.32000000000001,2.5515000000000008,1.0,3.0,4.0,1.0,0.46153846153846156,True,,Most-DILI-Concern,most,False,2.09188660801564,,
LT00461,Alatrofloxacin mesylate,8,Withdrawn,vMost-DILI-concern,Unchanged,Alatrofloxacin mesylate,,,,,,,,DILI (withdrawn),DILI,,most,1.0,alatrofloxacin mesylate,,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,,,True,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,UUZPPAMZDFLUHD-VUJLHGSVSA-N,O=c1ccn(-c2ccccc2)c2nc(N3CC4CC4C3)ccc12,1.0,1.0,0.0,558.5170000000002,40.0,26.0,0.0,159.64999999999998,0.903900000000001,4.0,7.0,7.0,5.0,0.34615384615384615,True,,Most-DILI-Concern,most,False,,DILImap_metadata_offline,
LT00499,Albendazole,7,Warnings & precautions,vMost-DILI-concern,Unchanged,Albendazole,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CHEMBL1483,54965-21-8,265.34,3.24,1.0,B,DILI (likely),DILI,"Hepatitis, Cholestasis/Biliary, Hypersensitivity",most,1.0,albendazole,DILImap_metadata,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,,,True,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,HXHWSAZORRCQMX-UHFFFAOYSA-N,c1ccc2[nH]cnc2c1,1.0,1.0,0.0,265.33799999999997,18.0,12.0,0.0,67.01,3.2433000000000005,2.0,4.0,4.0,2.0,0.3333333333333333,True,,Most-DILI-Concern,most,False,4.1588151051481,,
LT01051,Albuterol,0,No match,vNo-DILI-concern,Unchanged,Salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,CHEMBL714,18559-94-9,239.31,1.31,0.0,E,No DILI,No DILI,,no,0.0,albuterol,DILImap_metadata,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,,,True,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,NDAUXUAQIAJITI-UHFFFAOYSA-N,c1ccccc1,1.0,1.0,0.0,239.315,17.0,13.0,0.0,72.72,1.3059999999999998,4.0,4.0,4.0,1.0,0.5384615384615384,True,,No-DILI-Concern,no,False,,,
LT00692,Alclofenac,8,Withdrawn,vMost-DILI-concern,Unchanged,Alclofenac,C=CCOc1ccc(CC(=O)O)cc1Cl,CHEMBL94081,,226.66,2.53,0.0,,DILI (withdrawn),DILI,,most,1.0,alclofenac,DILImap_metadata,C=CCOc1ccc(CC(=O)O)cc1Cl,,,True,C=CCOc1ccc(CC(=O)O)cc1Cl,ARHWPKZXBHOEEE-UHFFFAOYSA-N,c1ccccc1,1.0,1.0,0.0,226.659,15.0,11.0,0.0,46.53,2.5319000000000003,1.0,2.0,5.0,1.0,0.18181818181818182,True,,Most-DILI-Concern,most,False,,,
LT01319,Aldesleukin,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,Aldesleukin,,CHEMBL1201438,,,,0.0,C[HD],DILI (few cases),,"Hepatitis, Cholestasis/Biliary, Immune-mediated, idiosyncratic cases",ambiguous,,aldesleukin,,,,,False,,,,,,,,,,,,,,,,,,False,missing_structure,Ambiguous DILI-concern,ambiguous,False,,,
LT03620,Alectinib hydrochloride,4,Warnings & precautions,Ambiguous-DILI-concern,New,,,,,,,,,,,,ambiguous,,alectinib hydrochloride,,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C.Cl,53239799.0,GYABBVHSRIHYJR-UHFFFAOYSA-N,True,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,KDGFLJKFZUIJMX-UHFFFAOYSA-N,O=C1c2ccc(N3CCC(N4CCOCC4)CC3)cc2Cc2[nH]c3ccccc3c21,2.0,0.972972972972973,0.0,482.62800000000027,36.0,30.0,0.0,72.36,4.773280000000004,1.0,5.0,3.0,6.0,0.4666666666666667,True,,,other,False,,,PubChem_name_property
LT01364,Alemtuzumab,0,No match,vLess-DILI-concern,Revised,Alemtuzumab,,CHEMBL1201587,,,,0.0,C,No DILI,No DILI,", idiosyncratic cases",less,,alemtuzumab,,,,,False,,,,,,,,,,,,,,,,,,False,missing_structure,No-DILI-Concern,no,False,,,
LT00980,Alendronate sodium,0,No match,vLess-DILI-concern,Unchanged,Alendronate,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL870,121268-17-5,249.1,-1.27,0.0,C,DILI (few cases),,,less,,alendronate sodium,DILImap_metadata,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,,,True,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,OGSPWJRAVKPPFI-UHFFFAOYSA-N,,1.0,1.0,0.0,249.096,14.0,4.0,0.0,161.30999999999997,-1.2731999999999999,6.0,4.0,5.0,0.0,1.0,True,,Less-DILI-Concern,less,False,,,
LT00925,Alfentanil hydrochloride,0,No match,vNo-DILI-concern,Unchanged,Alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,CHEMBL634,,416.53,1.38,0.0,E,No DILI,No DILI,,no,0.0,alfentanil hydrochloride,DILImap_metadata,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,,,True,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,IDBPHNDTYPBSNI-UHFFFAOYSA-N,O=c1[nH]nnn1CCN1CCC(Nc2ccccc2)CC1,1.0,1.0,0.0,416.52600000000024,30.0,21.0,0.0,85.49000000000001,1.3838999999999997,0.0,6.0,9.0,3.0,0.6190476190476191,True,,No-DILI-Concern,no,False,,,
LT01107,Alfuzosin hydrochloride,5,Adverse reactions,vLess-DILI-concern,Unchanged,Alfuzosin,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,CHEMBL709,81403-68-1,389.46,1.35,0.0,C,DILI (few cases),,"Hepatitis, CYP, Cholestasis/Biliary, Hypersensitivity",less,,alfuzosin hydrochloride,DILImap_metadata,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,,,True,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,WNMJYKCGWZFFKR-UHFFFAOYSA-N,O=C(NCCCNc1ncc2ccccc2n1)C1CCCO1,1.0,1.0,0.0,389.4560000000002,28.0,19.0,0.0,111.83,1.3507000000000002,2.0,8.0,8.0,3.0,0.5263157894736842,True,,Less-DILI-Concern,less,False,,,
LT01404,Alglucosidase alfa,0,No match,vNo-DILI-concern,Unchanged,Alglucosidase alfa,,CHEMBL1201824,,,,0.0,E,No DILI,No DILI,,no,0.0,alglucosidase alfa,,,,,False,,,,,,,,,,,,,,,,,,False,missing_structure,No-DILI-Concern,no,False,,,
